indicator_id,indicator_number,domain,direction,anchor,sign,delta_value,year,baseline_adri,perturbed_adri,delta_adri,abs_delta_adri
naep_g8_composite,1,Education,1,anchor_low,plus,4.0,2010,35.45,34.96,-0.49,0.49
naep_g8_composite,1,Education,1,anchor_low,plus,4.0,2011,35.42,34.96,-0.46,0.46
naep_g8_composite,1,Education,1,anchor_low,plus,4.0,2012,36.95,36.49,-0.46,0.46
naep_g8_composite,1,Education,1,anchor_low,plus,4.0,2013,35.54,35.12,-0.42,0.42
naep_g8_composite,1,Education,1,anchor_low,plus,4.0,2014,36.62,36.2,-0.42,0.42
naep_g8_composite,1,Education,1,anchor_low,plus,4.0,2015,36.78,36.28,-0.5,0.5
naep_g8_composite,1,Education,1,anchor_low,plus,4.0,2016,38.11,37.61,-0.5,0.5
naep_g8_composite,1,Education,1,anchor_low,plus,4.0,2017,37.96,37.44,-0.52,0.52
naep_g8_composite,1,Education,1,anchor_low,plus,4.0,2018,39.78,39.25,-0.53,0.53
naep_g8_composite,1,Education,1,anchor_low,plus,4.0,2019,42.06,41.49,-0.57,0.57
naep_g8_composite,1,Education,1,anchor_low,plus,4.0,2020,42.03,41.46,-0.57,0.57
naep_g8_composite,1,Education,1,anchor_low,plus,4.0,2021,42.36,41.79,-0.57,0.57
naep_g8_composite,1,Education,1,anchor_low,plus,4.0,2022,38.63,37.89,-0.74,0.74
naep_g8_composite,1,Education,1,anchor_low,plus,4.0,2023,42.06,41.32,-0.74,0.74
naep_g8_composite,1,Education,1,anchor_low,plus,4.0,2024,44.16,43.41,-0.75,0.75
naep_g8_composite,1,Education,1,anchor_low,minus,-4.0,2010,35.45,35.84,0.39,0.39
naep_g8_composite,1,Education,1,anchor_low,minus,-4.0,2011,35.42,35.79,0.37,0.37
naep_g8_composite,1,Education,1,anchor_low,minus,-4.0,2012,36.95,37.32,0.37,0.37
naep_g8_composite,1,Education,1,anchor_low,minus,-4.0,2013,35.54,35.88,0.34,0.34
naep_g8_composite,1,Education,1,anchor_low,minus,-4.0,2014,36.62,36.96,0.34,0.34
naep_g8_composite,1,Education,1,anchor_low,minus,-4.0,2015,36.78,37.19,0.41,0.41
naep_g8_composite,1,Education,1,anchor_low,minus,-4.0,2016,38.11,38.52,0.41,0.41
naep_g8_composite,1,Education,1,anchor_low,minus,-4.0,2017,37.96,38.4,0.44,0.44
naep_g8_composite,1,Education,1,anchor_low,minus,-4.0,2018,39.78,40.21,0.43,0.43
naep_g8_composite,1,Education,1,anchor_low,minus,-4.0,2019,42.06,42.53,0.47,0.47
naep_g8_composite,1,Education,1,anchor_low,minus,-4.0,2020,42.03,42.49,0.46,0.46
naep_g8_composite,1,Education,1,anchor_low,minus,-4.0,2021,42.36,42.83,0.47,0.47
naep_g8_composite,1,Education,1,anchor_low,minus,-4.0,2022,38.63,39.23,0.6,0.6
naep_g8_composite,1,Education,1,anchor_low,minus,-4.0,2023,42.06,42.66,0.6,0.6
naep_g8_composite,1,Education,1,anchor_low,minus,-4.0,2024,44.16,44.78,0.62,0.62
naep_g8_composite,1,Education,1,anchor_high,plus,4.0,2010,35.45,34.93,-0.52,0.52
naep_g8_composite,1,Education,1,anchor_high,plus,4.0,2011,35.42,34.88,-0.54,0.54
naep_g8_composite,1,Education,1,anchor_high,plus,4.0,2012,36.95,36.41,-0.54,0.54
naep_g8_composite,1,Education,1,anchor_high,plus,4.0,2013,35.54,34.97,-0.57,0.57
naep_g8_composite,1,Education,1,anchor_high,plus,4.0,2014,36.62,36.05,-0.57,0.57
naep_g8_composite,1,Education,1,anchor_high,plus,4.0,2015,36.78,36.28,-0.5,0.5
naep_g8_composite,1,Education,1,anchor_high,plus,4.0,2016,38.11,37.61,-0.5,0.5
naep_g8_composite,1,Education,1,anchor_high,plus,4.0,2017,37.96,37.49,-0.47,0.47
naep_g8_composite,1,Education,1,anchor_high,plus,4.0,2018,39.78,39.3,-0.48,0.48
naep_g8_composite,1,Education,1,anchor_high,plus,4.0,2019,42.06,41.62,-0.44,0.44
naep_g8_composite,1,Education,1,anchor_high,plus,4.0,2020,42.03,41.58,-0.45,0.45
naep_g8_composite,1,Education,1,anchor_high,plus,4.0,2021,42.36,41.92,-0.44,0.44
naep_g8_composite,1,Education,1,anchor_high,plus,4.0,2022,38.63,38.32,-0.31,0.31
naep_g8_composite,1,Education,1,anchor_high,plus,4.0,2023,42.06,41.75,-0.31,0.31
naep_g8_composite,1,Education,1,anchor_high,plus,4.0,2024,44.16,43.87,-0.29,0.29
naep_g8_composite,1,Education,1,anchor_high,minus,-4.0,2010,35.45,36.07,0.62,0.62
naep_g8_composite,1,Education,1,anchor_high,minus,-4.0,2011,35.42,36.07,0.65,0.65
naep_g8_composite,1,Education,1,anchor_high,minus,-4.0,2012,36.95,37.6,0.65,0.65
naep_g8_composite,1,Education,1,anchor_high,minus,-4.0,2013,35.54,36.23,0.69,0.69
naep_g8_composite,1,Education,1,anchor_high,minus,-4.0,2014,36.62,37.32,0.7,0.7
naep_g8_composite,1,Education,1,anchor_high,minus,-4.0,2015,36.78,37.39,0.61,0.61
naep_g8_composite,1,Education,1,anchor_high,minus,-4.0,2016,38.11,38.72,0.61,0.61
naep_g8_composite,1,Education,1,anchor_high,minus,-4.0,2017,37.96,38.55,0.59,0.59
naep_g8_composite,1,Education,1,anchor_high,minus,-4.0,2018,39.78,40.36,0.58,0.58
naep_g8_composite,1,Education,1,anchor_high,minus,-4.0,2019,42.06,42.6,0.54,0.54
naep_g8_composite,1,Education,1,anchor_high,minus,-4.0,2020,42.03,42.57,0.54,0.54
naep_g8_composite,1,Education,1,anchor_high,minus,-4.0,2021,42.36,42.9,0.54,0.54
naep_g8_composite,1,Education,1,anchor_high,minus,-4.0,2022,38.63,39.0,0.37,0.37
naep_g8_composite,1,Education,1,anchor_high,minus,-4.0,2023,42.06,42.43,0.37,0.37
naep_g8_composite,1,Education,1,anchor_high,minus,-4.0,2024,44.16,44.52,0.36,0.36
bachelors_attainment_25plus,2,Education,1,anchor_low,plus,2.5,2010,35.45,34.7,-0.75,0.75
bachelors_attainment_25plus,2,Education,1,anchor_low,plus,2.5,2011,35.42,34.68,-0.74,0.74
bachelors_attainment_25plus,2,Education,1,anchor_low,plus,2.5,2012,36.95,36.24,-0.71,0.71
bachelors_attainment_25plus,2,Education,1,anchor_low,plus,2.5,2013,35.54,34.85,-0.69,0.69
bachelors_attainment_25plus,2,Education,1,anchor_low,plus,2.5,2014,36.62,35.96,-0.66,0.66
bachelors_attainment_25plus,2,Education,1,anchor_low,plus,2.5,2015,36.78,36.14,-0.64,0.64
bachelors_attainment_25plus,2,Education,1,anchor_low,plus,2.5,2016,38.11,37.5,-0.61,0.61
bachelors_attainment_25plus,2,Education,1,anchor_low,plus,2.5,2017,37.96,37.39,-0.57,0.57
bachelors_attainment_25plus,2,Education,1,anchor_low,plus,2.5,2018,39.78,39.23,-0.55,0.55
bachelors_attainment_25plus,2,Education,1,anchor_low,plus,2.5,2019,42.06,41.53,-0.53,0.53
bachelors_attainment_25plus,2,Education,1,anchor_low,plus,2.5,2020,42.03,41.5,-0.53,0.53
bachelors_attainment_25plus,2,Education,1,anchor_low,plus,2.5,2021,42.36,41.82,-0.54,0.54
bachelors_attainment_25plus,2,Education,1,anchor_low,plus,2.5,2022,38.63,38.12,-0.51,0.51
bachelors_attainment_25plus,2,Education,1,anchor_low,plus,2.5,2023,42.06,41.61,-0.45,0.45
bachelors_attainment_25plus,2,Education,1,anchor_low,plus,2.5,2024,44.16,43.73,-0.43,0.43
bachelors_attainment_25plus,2,Education,1,anchor_low,minus,-2.5,2010,35.45,36.06,0.61,0.61
bachelors_attainment_25plus,2,Education,1,anchor_low,minus,-2.5,2011,35.42,36.02,0.6,0.6
bachelors_attainment_25plus,2,Education,1,anchor_low,minus,-2.5,2012,36.95,37.52,0.57,0.57
bachelors_attainment_25plus,2,Education,1,anchor_low,minus,-2.5,2013,35.54,36.1,0.56,0.56
bachelors_attainment_25plus,2,Education,1,anchor_low,minus,-2.5,2014,36.62,37.16,0.54,0.54
bachelors_attainment_25plus,2,Education,1,anchor_low,minus,-2.5,2015,36.78,37.3,0.52,0.52
bachelors_attainment_25plus,2,Education,1,anchor_low,minus,-2.5,2016,38.11,38.61,0.5,0.5
bachelors_attainment_25plus,2,Education,1,anchor_low,minus,-2.5,2017,37.96,38.44,0.48,0.48
bachelors_attainment_25plus,2,Education,1,anchor_low,minus,-2.5,2018,39.78,40.23,0.45,0.45
bachelors_attainment_25plus,2,Education,1,anchor_low,minus,-2.5,2019,42.06,42.49,0.43,0.43
bachelors_attainment_25plus,2,Education,1,anchor_low,minus,-2.5,2020,42.03,42.46,0.43,0.43
bachelors_attainment_25plus,2,Education,1,anchor_low,minus,-2.5,2021,42.36,42.8,0.44,0.44
bachelors_attainment_25plus,2,Education,1,anchor_low,minus,-2.5,2022,38.63,39.04,0.41,0.41
bachelors_attainment_25plus,2,Education,1,anchor_low,minus,-2.5,2023,42.06,42.42,0.36,0.36
bachelors_attainment_25plus,2,Education,1,anchor_low,minus,-2.5,2024,44.16,44.51,0.35,0.35
bachelors_attainment_25plus,2,Education,1,anchor_high,plus,2.5,2010,35.45,35.15,-0.3,0.3
bachelors_attainment_25plus,2,Education,1,anchor_high,plus,2.5,2011,35.42,35.11,-0.31,0.31
bachelors_attainment_25plus,2,Education,1,anchor_high,plus,2.5,2012,36.95,36.61,-0.34,0.34
bachelors_attainment_25plus,2,Education,1,anchor_high,plus,2.5,2013,35.54,35.19,-0.35,0.35
bachelors_attainment_25plus,2,Education,1,anchor_high,plus,2.5,2014,36.62,36.25,-0.37,0.37
bachelors_attainment_25plus,2,Education,1,anchor_high,plus,2.5,2015,36.78,36.39,-0.39,0.39
bachelors_attainment_25plus,2,Education,1,anchor_high,plus,2.5,2016,38.11,37.7,-0.41,0.41
bachelors_attainment_25plus,2,Education,1,anchor_high,plus,2.5,2017,37.96,37.53,-0.43,0.43
bachelors_attainment_25plus,2,Education,1,anchor_high,plus,2.5,2018,39.78,39.32,-0.46,0.46
bachelors_attainment_25plus,2,Education,1,anchor_high,plus,2.5,2019,42.06,41.58,-0.48,0.48
bachelors_attainment_25plus,2,Education,1,anchor_high,plus,2.5,2020,42.03,41.55,-0.48,0.48
bachelors_attainment_25plus,2,Education,1,anchor_high,plus,2.5,2021,42.36,41.89,-0.47,0.47
bachelors_attainment_25plus,2,Education,1,anchor_high,plus,2.5,2022,38.63,38.13,-0.5,0.5
bachelors_attainment_25plus,2,Education,1,anchor_high,plus,2.5,2023,42.06,41.51,-0.55,0.55
bachelors_attainment_25plus,2,Education,1,anchor_high,plus,2.5,2024,44.16,43.6,-0.56,0.56
bachelors_attainment_25plus,2,Education,1,anchor_high,minus,-2.5,2010,35.45,35.81,0.36,0.36
bachelors_attainment_25plus,2,Education,1,anchor_high,minus,-2.5,2011,35.42,35.79,0.37,0.37
bachelors_attainment_25plus,2,Education,1,anchor_high,minus,-2.5,2012,36.95,37.35,0.4,0.4
bachelors_attainment_25plus,2,Education,1,anchor_high,minus,-2.5,2013,35.54,35.96,0.42,0.42
bachelors_attainment_25plus,2,Education,1,anchor_high,minus,-2.5,2014,36.62,37.07,0.45,0.45
bachelors_attainment_25plus,2,Education,1,anchor_high,minus,-2.5,2015,36.78,37.25,0.47,0.47
bachelors_attainment_25plus,2,Education,1,anchor_high,minus,-2.5,2016,38.11,38.61,0.5,0.5
bachelors_attainment_25plus,2,Education,1,anchor_high,minus,-2.5,2017,37.96,38.5,0.54,0.54
bachelors_attainment_25plus,2,Education,1,anchor_high,minus,-2.5,2018,39.78,40.34,0.56,0.56
bachelors_attainment_25plus,2,Education,1,anchor_high,minus,-2.5,2019,42.06,42.64,0.58,0.58
bachelors_attainment_25plus,2,Education,1,anchor_high,minus,-2.5,2020,42.03,42.61,0.58,0.58
bachelors_attainment_25plus,2,Education,1,anchor_high,minus,-2.5,2021,42.36,42.93,0.57,0.57
bachelors_attainment_25plus,2,Education,1,anchor_high,minus,-2.5,2022,38.63,39.23,0.6,0.6
bachelors_attainment_25plus,2,Education,1,anchor_high,minus,-2.5,2023,42.06,42.73,0.67,0.67
bachelors_attainment_25plus,2,Education,1,anchor_high,minus,-2.5,2024,44.16,44.85,0.69,0.69
life_expectancy_at_birth,3,Health,1,anchor_low,plus,1.0,2010,35.45,34.86,-0.59,0.59
life_expectancy_at_birth,3,Health,1,anchor_low,plus,1.0,2011,35.42,34.83,-0.59,0.59
life_expectancy_at_birth,3,Health,1,anchor_low,plus,1.0,2012,36.95,36.95,0.0,0.0
life_expectancy_at_birth,3,Health,1,anchor_low,plus,1.0,2013,35.54,34.96,-0.58,0.58
life_expectancy_at_birth,3,Health,1,anchor_low,plus,1.0,2014,36.62,36.05,-0.57,0.57
life_expectancy_at_birth,3,Health,1,anchor_low,plus,1.0,2015,36.78,36.19,-0.59,0.59
life_expectancy_at_birth,3,Health,1,anchor_low,plus,1.0,2016,38.11,37.51,-0.6,0.6
life_expectancy_at_birth,3,Health,1,anchor_low,plus,1.0,2017,37.96,37.36,-0.6,0.6
life_expectancy_at_birth,3,Health,1,anchor_low,plus,1.0,2018,39.78,39.19,-0.59,0.59
life_expectancy_at_birth,3,Health,1,anchor_low,plus,1.0,2019,42.06,41.48,-0.58,0.58
life_expectancy_at_birth,3,Health,1,anchor_low,plus,1.0,2020,42.03,41.25,-0.78,0.78
life_expectancy_at_birth,3,Health,1,anchor_low,plus,1.0,2021,42.36,41.51,-0.85,0.85
life_expectancy_at_birth,3,Health,1,anchor_low,plus,1.0,2022,38.63,37.9,-0.73,0.73
life_expectancy_at_birth,3,Health,1,anchor_low,plus,1.0,2023,42.06,41.44,-0.62,0.62
life_expectancy_at_birth,3,Health,1,anchor_low,plus,1.0,2024,44.16,43.54,-0.62,0.62
life_expectancy_at_birth,3,Health,1,anchor_low,minus,-1.0,2010,35.45,35.93,0.48,0.48
life_expectancy_at_birth,3,Health,1,anchor_low,minus,-1.0,2011,35.42,35.9,0.48,0.48
